symbol,code,name,industry,listing_time
603376.SSE,603376,大明电子,汽车制造业,2025-11-06
603334.SSE,603334,丰倍生物,废弃资源综合利用业,2025-11-05
920009.BSE,920009,丹娜生物,医药制造业,2025-11-03
688759.SSE,688759,必贝特,医药制造业,2025-10-28
920020.BSE,920020,泰凯英,橡胶和塑料制品业,2025-10-28
688765.SSE,688765,禾元生物,医药制造业,2025-10-28
688783.SSE,688783,西安奕材,计算机、通信和其他电子设备制造业,2025-10-28
603175.SSE,603175,超颖电子,计算机、通信和其他电子设备制造业,2025-10-24
001386.SZSE,001386,马可波罗,非金属矿物制品业,2025-10-22
601026.SSE,601026,道生天合,化学原料和化学制品制造业,2025-10-17
920158.BSE,920158,长江能科,专用设备制造业,2025-10-16
920080.BSE,920080,奥美森,专用设备制造业,2025-10-10
001285.SZSE,001285,瑞立科密,计算机、通信和其他电子设备制造业,2025-09-30
301563.SZSE,301563,云汉芯城,批发业,2025-09-30
301668.SZSE,301668,昊创瑞通,电气机械和器材制造业,2025-09-26
301584.SZSE,301584,建发致新,批发业,2025-09-25
301656.SZSE,301656,联合动力,汽车制造业,2025-09-25
920015.BSE,920015,锦华新材,化学原料和化学制品制造业,2025-09-25
603418.SSE,603418,友升股份,汽车制造业,2025-09-23
920022.BSE,920022,世昌股份,汽车制造业,2025-09-19
301575.SZSE,301575,艾芬达,金属制品业,2025-09-10
920100.BSE,920100,三协电机,电气机械和器材制造业,2025-09-08
603370.SSE,603370,华新精科,电气机械和器材制造业,2025-09-05
920112.BSE,920112,巴兰仕,专用设备制造业,2025-08-28
920056.BSE,920056,能之光,橡胶和塑料制品业,2025-08-22
920018.BSE,920018,宏远股份,电气机械和器材制造业,2025-08-20
920101.BSE,920101,志高机械,专用设备制造业,2025-08-14
301632.SZSE,301632,广东建科,专业技术服务业,2025-08-12
603406.SSE,603406,天富龙,化学纤维制造业,2025-08-08
920007.BSE,920007,酉立智能,金属制品业,2025-08-08
301491.SZSE,301491,汉桑科技,计算机、通信和其他电子设备制造业,2025-08-06
920005.BSE,920005,鼎佳精密,计算机、通信和其他电子设备制造业,2025-07-31
001221.SZSE,001221,悍高集团,金属制品业,2025-07-30
301609.SZSE,301609,山大电力,电气机械和器材制造业,2025-07-23
603262.SSE,603262,技源集团,食品制造业,2025-07-23
600930.SSE,600930,华电新能,电力、热力生产和供应业,2025-07-16
301630.SZSE,301630,同宇新材,计算机、通信和其他电子设备制造业,2025-07-10
688729.SSE,688729,屹唐股份,专用设备制造业,2025-07-08
001388.SZSE,001388,信通电子,计算机、通信和其他电子设备制造业,2025-07-01
920037.BSE,920037,广信科技,电气机械和器材制造业,2025-06-26
603400.SSE,603400,华之杰,通用设备制造业,2025-06-20
301678.SZSE,301678,新恒汇,计算机、通信和其他电子设备制造业,2025-06-20
603382.SSE,603382,海阳科技,化学原料和化学制品制造业,2025-06-12
688775.SSE,688775,影石创新,计算机、通信和其他电子设备制造业,2025-06-11
920027.BSE,920027,交大铁发,铁路、船舶、航空航天和其他运输设备制造业,2025-06-10
603049.SSE,603049,中策橡胶,橡胶和塑料制品业,2025-06-05
301590.SZSE,301590,优优绿能,电气机械和器材制造业,2025-06-05
001390.SZSE,001390,古麒绒材,皮革、毛皮、羽毛及其制品和制鞋业,2025-05-29
603014.SSE,603014,威高血净,专用设备制造业,2025-05-19
301595.SZSE,301595,太力科技,橡胶和塑料制品业,2025-05-19
688755.SSE,688755,汉邦科技,专用设备制造业,2025-05-16
301636.SZSE,301636,泽润新能,电气机械和器材制造业,2025-05-16
920068.BSE,920068,天工股份,有色金属冶炼和压延加工业,2025-05-13
301560.SZSE,301560,众捷汽车,汽车制造业,2025-04-25
001400.SZSE,001400,江顺科技,通用设备制造业,2025-04-24
603202.SSE,603202,天有为,汽车制造业,2025-04-24
301662.SZSE,301662,宏工科技,专用设备制造业,2025-04-17
603120.SSE,603120,肯特催化,化学原料和化学制品制造业,2025-04-16
001335.SZSE,001335,信凯科技,批发业,2025-04-15
301665.SZSE,301665,泰禾股份,化学原料和化学制品制造业,2025-04-11
603210.SSE,603210,泰鸿万立,汽车制造业,2025-04-09
603257.SSE,603257,中国瑞林,土木工程建筑业,2025-04-08
301658.SZSE,301658,首航新能,电气机械和器材制造业,2025-04-02
920029.BSE,920029,开发科技,仪器仪表制造业,2025-03-28
